Ram,Weight,Touchscreen,ppi,HDD,SSD
4,2.8,0,106.11306214269258,1000,0
8,2.8,0,127.33567457123112,2000,0
6,2.8,0,106.11306214269258,1000,128
4,2.25,0,141.21199808219862,1000,0
8,2.5,0,141.21199808219862,0,256
6,2.2,0,141.21199808219862,0,256
8,3.0,0,141.21199808219862,0,256
12,2.15,1,141.21199808219862,1000,0
8,1.95,0,141.21199808219862,0,256
8,1.7,0,141.21199808219862,0,256
16,2.5,0,141.21199808219862,1000,256
8,2.2,0,141.21199808219862,1000,0
2,2.19,0,100.45466986113652,0,16
8,3.0,0,127.33567457123112,1000,0
8,2.54,0,106.11306214269258,1000,0
8,2.0,0,141.21199808219862,0,256
8,2.05,0,141.21199808219862,0,256
8,3.2,0,141.21199808219862,1000,0
8,2.5,0,141.21199808219862,0,256
16,3.42,0,127.33567457123112,0,256
6,2.4,0,141.21199808219862,1000,0
16,1.63,0,141.21199808219862,0,512
4,1.3,0,111.93520355955212,0,128
16,2.9,0,127.33567457123112,1000,256
6,2.8,0,106.11306214269258,1000,0
8,2.2,0,100.45466986113652,2000,0
8,2.5,0,141.21199808219862,1000,128
4,2.2,0,100.45466986113652,1000,0
16,1.28,1,165.6321180513006,0,256
8,2.2,0,141.21199808219862,0,256
8,2.3,0,141.21199808219862,1000,128
4,1.86,0,141.21199808219862,1000,0
8,1.1,0,165.6321180513006,0,256
16,1.21,1,331.2642361026012,0,1000
16,2.8,0,141.21199808219862,1000,256
8,2.23,0,141.21199808219862,0,256
2,1.1,1,135.0942111925629,0,0
8,2.33,0,141.21199808219862,1000,128
16,1.29,1,331.2642361026012,0,1000
4,1.45,0,117.82653006268644,0,0
8,1.95,0,157.3505121487356,0,256
4,1.4,0,135.0942111925629,0,0
8,1.48,0,157.3505121487356,0,256
4,2.79,0,106.11306214269258,1000,0
8,2.0,0,157.3505121487356,0,256
8,2.1,0,100.45466986113652,1000,0
8,2.2,0,100.45466986113652,0,256
4,1.44,0,111.93520355955212,0,0
6,2.23,0,100.45466986113652,1000,0
8,1.7,0,141.21199808219862,0,256
8,1.26,0,176.23257360658386,0,256
32,2.06,1,282.42399616439724,0,1000
8,2.7,0,127.33567457123112,1000,256
8,2.0,0,141.21199808219862,0,256
8,2.0,0,157.3505121487356,1000,256
4,1.85,0,141.21199808219862,1000,0
8,2.5,0,141.21199808219862,0,256
8,1.48,0,157.3505121487356,0,256
8,1.9,0,141.21199808219862,1000,128
8,1.84,0,141.21199808219862,0,256
4,2.0,0,100.45466986113652,1000,0
8,2.0,0,141.21199808219862,0,256
4,2.2,0,100.45466986113652,500,0
12,2.2,0,141.21199808219862,2000,0
8,2.1,0,141.21199808219862,1000,0
16,1.4,1,316.96506044349616,0,512
8,1.2,0,165.6321180513006,0,256
16,2.4,0,141.21199808219862,2000,256
2,1.44,0,111.93520355955212,0,0
16,1.88,0,141.21199808219862,0,768
4,1.5,1,135.0942111925629,0,0
8,1.9,0,141.21199808219862,1000,0
16,2.06,1,282.42399616439724,0,512
8,1.84,0,141.21199808219862,0,256
8,2.7,0,127.33567457123112,1000,128
8,2.6,0,141.21199808219862,0,256
16,2.4,0,141.21199808219862,0,512
8,2.02,0,141.21199808219862,2000,128
4,2.2,0,100.45466986113652,1000,0
8,2.65,0,141.21199808219862,1000,0
8,2.36,1,100.45466986113652,2000,0
8,1.36,0,157.3505121487356,0,256
4,1.86,0,100.45466986113652,500,0
8,2.0,0,157.3505121487356,0,256
6,2.8,0,106.11306214269258,1000,128
8,1.86,0,141.21199808219862,1000,0
8,2.2,0,100.45466986113652,0,256
8,2.04,0,100.45466986113652,2000,0
8,2.8,0,127.33567457123112,1000,128
8,2.4,0,141.21199808219862,1000,128
8,2.33,0,141.21199808219862,0,256
8,1.36,0,157.3505121487356,0,256
12,2.26,1,141.21199808219862,2000,512
4,2.1,0,100.45466986113652,0,128
16,3.25,0,127.33567457123112,1000,256
4,2.6,0,106.11306214269258,0,128
8,1.62,1,165.6321180513006,0,256
4,1.91,0,141.21199808219862,0,256
4,1.59,0,135.0942111925629,0,128
4,1.8,0,100.45466986113652,500,0
4,1.5,0,111.93520355955212,0,0
8,2.4,0,141.21199808219862,1000,0
8,3.35,0,127.33567457123112,1000,128
4,1.85,0,141.21199808219862,0,128
8,2.3,0,141.21199808219862,1000,128
8,1.5,0,157.3505121487356,0,256
16,1.1,1,165.6321180513006,0,512
8,1.13,0,209.8006828649808,0,512
4,1.5,0,165.6321180513006,0,128
8,2.23,0,141.21199808219862,500,0
8,2.0,0,141.21199808219862,0,256
16,1.42,1,209.8006828649808,0,512
8,3.0,0,127.33567457123112,1000,0
16,3.0,0,127.33567457123112,1000,256
12,2.2,0,100.45466986113652,1000,0
8,2.7,0,127.33567457123112,0,256
8,2.33,0,141.21199808219862,0,256
4,1.91,0,141.21199808219862,0,256
8,2.1,0,141.21199808219862,0,256
8,1.9,0,157.3505121487356,0,256
8,1.78,1,282.42399616439724,0,256
16,1.13,0,209.8006828649808,0,1000
4,2.2,0,100.45466986113652,1000,0
16,2.9,0,127.33567457123112,1000,256
8,2.1,0,141.21199808219862,1000,256
8,2.5,0,141.21199808219862,0,256
16,2.8,0,127.33567457123112,1000,256
8,1.1,0,157.3505121487356,0,512
16,1.2,0,165.6321180513006,0,512
8,1.36,0,157.3505121487356,0,512
4,2.2,0,141.21199808219862,500,0
2,1.15,0,135.0942111925629,0,0
8,2.67,0,141.21199808219862,0,512
8,1.7,0,209.8006828649808,0,512
4,2.1,0,141.21199808219862,1000,0
8,1.6,1,165.6321180513006,0,256
8,1.27,1,165.6321180513006,0,256
4,2.3,0,141.21199808219862,0,256
4,1.65,0,117.82653006268644,0,128
8,1.43,0,157.3505121487356,0,256
8,2.14,0,100.45466986113652,1000,0
8,1.75,0,157.3505121487356,0,256
16,2.0,1,282.42399616439724,0,512
6,1.4,0,267.3384360344031,0,0
8,2.31,0,141.21199808219862,0,256
8,2.3,0,141.21199808219862,1000,0
16,4.42,0,169.78089942830815,1000,256
8,2.62,0,141.21199808219862,1000,128
8,2.02,0,141.21199808219862,2000,256
8,1.6,0,157.3505121487356,0,256
12,3.35,0,127.33567457123112,1000,256
4,1.16,1,189.90579052433608,0,32
4,1.15,0,135.0942111925629,0,0
8,1.4,0,165.6321180513006,0,256
4,1.7,0,157.3505121487356,0,128
16,2.3,0,282.42399616439724,0,512
16,2.5,0,141.21199808219862,0,512
8,3.2,0,127.33567457123112,1000,256
4,2.1,0,100.45466986113652,500,0
16,1.1,1,234.50740003017813,0,512
24,1.32,0,209.8006828649808,0,512
4,2.0,0,141.21199808219862,0,256
8,2.8,0,106.11306214269258,1000,0
4,2.2,0,141.21199808219862,0,256
8,1.36,0,176.23257360658386,0,256
4,2.2,0,141.21199808219862,0,128
8,2.2,0,141.21199808219862,1000,128
8,1.64,0,157.3505121487356,0,256
4,2.4,0,100.45466986113652,500,0
8,2.23,0,141.21199808219862,1000,0
8,2.2,0,141.21199808219862,0,256
16,1.25,1,200.84255993695703,0,512
8,1.91,0,100.45466986113652,0,128
16,2.17,0,141.21199808219862,0,256
8,2.31,0,141.21199808219862,0,512
8,1.65,0,157.3505121487356,0,256
8,2.36,0,141.21199808219862,1000,128
4,1.47,1,135.0942111925629,500,0
8,4.42,0,127.33567457123112,1000,0
4,1.252,1,200.84255993695703,0,128
8,1.25,1,200.84255993695703,0,256
8,2.5,0,106.11306214269258,0,256
4,2.23,0,141.21199808219862,1000,0
4,1.4,0,135.0942111925629,0,128
8,2.37,0,141.21199808219862,1000,0
8,1.5,0,157.3505121487356,0,512
8,2.67,0,141.21199808219862,0,256
4,2.0,0,100.45466986113652,500,0
4,2.2,0,100.45466986113652,500,0
8,2.02,0,141.21199808219862,2000,0
12,3.78,0,127.33567457123112,1000,0
12,1.4,0,209.8006828649808,0,256
8,1.29,1,331.2642361026012,0,512
8,1.9,0,141.21199808219862,500,0
8,1.1,1,234.50740003017813,0,128
8,1.42,1,165.6321180513006,0,256
12,2.06,0,282.42399616439724,1000,128
8,1.79,0,111.93520355955212,0,128
8,1.78,0,141.21199808219862,0,256
8,1.7,0,157.3505121487356,0,180
8,2.2,0,141.21199808219862,1000,0
8,1.05,0,165.6321180513006,0,256
8,2.16,0,141.21199808219862,0,512
4,2.18,0,100.45466986113652,1000,0
4,1.49,0,165.6321180513006,0,128
4,1.89,0,141.21199808219862,0,0
4,2.3,0,100.45466986113652,0,128
8,1.75,0,157.3505121487356,0,256
16,2.17,0,141.21199808219862,0,512
16,2.06,0,141.21199808219862,0,512
16,1.36,0,176.23257360658386,0,512
16,0.91,0,176.23257360658386,0,512
8,2.3,0,141.21199808219862,0,256
32,1.05,1,165.6321180513006,0,512
8,1.99,0,141.21199808219862,1000,128
8,2.2,0,100.45466986113652,1000,0
24,4.33,1,127.33567457123112,1000,256
8,1.3,0,125.36742798669836,0,180
8,2.17,0,141.21199808219862,0,256
8,1.48,0,157.3505121487356,0,1000
8,1.4,0,165.6321180513006,0,256
8,2.3,0,141.21199808219862,0,256
4,1.2,0,135.0942111925629,0,0
8,1.91,0,100.45466986113652,0,256
8,1.4,1,158.48253022174808,0,256
4,2.1,0,111.93520355955212,500,0
4,1.25,0,135.0942111925629,0,16
8,1.44,0,165.6321180513006,0,256
8,2.0,0,141.21199808219862,1000,256
4,2.2,0,141.21199808219862,1000,0
8,1.34,0,165.6321180513006,0,512
8,2.4,0,141.21199808219862,1000,256
8,1.29,1,165.6321180513006,0,128
4,2.2,0,141.21199808219862,500,0
8,2.18,0,141.21199808219862,1000,0
16,2.2,0,141.21199808219862,2000,256
16,1.95,0,141.21199808219862,0,256
2,1.1,0,135.0942111925629,0,0
4,2.04,1,100.45466986113652,1000,0
24,2.24,0,141.21199808219862,0,512
8,2.04,0,141.21199808219862,0,256
16,3.0,0,127.33567457123112,1000,256
8,3.2,0,141.21199808219862,1000,256
8,1.32,0,165.6321180513006,0,256
8,1.64,0,157.3505121487356,0,256
4,1.63,0,100.45466986113652,0,128
8,2.8,0,127.33567457123112,1000,128
8,2.02,0,157.3505121487356,0,256
4,2.2,0,141.21199808219862,1000,0
8,2.2,0,100.45466986113652,2000,0
4,2.3,0,141.21199808219862,500,0
8,1.9,0,141.21199808219862,0,256
16,4.42,0,127.33567457123112,1000,128
8,2.0,0,141.21199808219862,500,0
8,2.0,0,282.42399616439724,1000,256
4,1.2,0,165.6321180513006,0,32
8,2.3,0,141.21199808219862,1000,128
8,1.93,0,141.21199808219862,0,256
8,2.2,0,141.21199808219862,0,256
4,1.86,0,141.21199808219862,0,256
12,2.62,0,127.33567457123112,1000,0
8,1.87,0,157.3505121487356,0,256
8,1.2,1,276.053530085501,0,256
4,1.6,0,157.3505121487356,0,128
8,1.34,0,276.053530085501,0,256
8,2.4,0,141.21199808219862,1000,0
4,2.0,0,100.45466986113652,500,0
4,2.1,0,141.21199808219862,0,128
4,1.87,0,157.3505121487356,500,0
4,2.15,0,141.21199808219862,1000,0
4,1.86,0,141.21199808219862,500,0
8,1.99,0,141.21199808219862,0,512
4,2.2,0,141.21199808219862,0,128
8,1.9,0,141.21199808219862,0,256
16,4.42,0,127.33567457123112,1000,256
8,2.65,0,106.11306214269258,1000,0
8,2.63,0,127.33567457123112,1000,0
4,2.0,0,100.45466986113652,500,0
4,1.35,0,165.6321180513006,0,0
6,2.8,0,106.11306214269258,1000,128
6,1.91,0,141.21199808219862,0,128
4,2.18,0,100.45466986113652,1000,0
4,1.25,1,189.90579052433608,0,0
4,2.05,0,141.21199808219862,0,128
16,1.16,1,276.053530085501,0,512
8,3.4,0,127.33567457123112,0,256
8,2.5,0,141.21199808219862,1000,128
8,1.21,1,331.2642361026012,0,128
4,1.93,0,100.45466986113652,500,0
8,2.2,0,100.45466986113652,1000,0
4,2.2,0,141.21199808219862,500,0
4,2.02,0,111.93520355955212,500,0
8,3.14,0,106.11306214269258,500,0
8,1.94,0,111.93520355955212,2000,0
6,1.95,0,141.21199808219862,0,256
8,2.3,0,141.21199808219862,0,256
4,2.05,0,141.21199808219862,500,0
4,1.4,0,157.3505121487356,0,32
16,1.24,1,157.3505121487356,0,512
32,4.6,0,127.33567457123112,1000,256
16,4.14,0,127.33567457123112,1000,512
8,2.2,0,141.21199808219862,0,256
